name,year,url
汉语发展性阅读障碍儿童的语言与认知事件相关电位研究进展,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei06vztMD_yirYGH4uds2b_xt8lVwtl8_M-mMGC2f113mOl-Mx_FWf0G2Rn43D5H7mbx1RKPm4rz_bdOZD0jxGlFRy1G2z6sVXjLsOusluizFPI4vAzzATefsI1KQUYDGcFZi41DwaIi3cYUuxIRM4pa2BCJrj5PYwWGQ5SDBkyo7g==&uniplatform=NZKPT&language=CHS
汉语发展性语言障碍儿童句法发展的图景研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2SrrmVrYmOFr3LWtkrQ4qMv_Em_rw2yInrxVBOveqyCBRxiUiUAb94Q7tEsE_OE3T1u3NL95VjdcyeyjT5Mp-mra_W0haXK4sOQfOJfqE7WY1F9szBq3_Wp7AKWnrFGWu4KaOVqL1Qg8KGADO1uxTY2MmhbJ7l_ta3YRfW4dUesw==&uniplatform=NZKPT&language=CHS
视听协同发展在婴儿期语言习得中的作用:典型发育与高风险自闭症谱系障碍婴儿的比较分析,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2SrrmVrYmOFr3LWtkrQ4qMv_Em_rw2yIn51sYXiBbdpZk73zCIhiZjXHEDyrMI5MbMbqi_uvr9izT1CUpZ46w6AO3nFV1zMSk1CyrKrrWRHb1Z83A3cgpgLgYBSCSEocbSJHMQJoKX1owqakSDWLEmILZCPGRMKOyAyiZT7b8fYA==&uniplatform=NZKPT&language=CHS
语言文化障碍对我国“一带一路”对外直接投资选址的影响研究,202507,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1Pqf3xq64ZBu6lPQ_BK9DTtesVkAs-rc0uiMYzz3z-wMREOaggfQZEANbtBhu8j-C84mRG2veAlUS17ppTZ9KumCrI44ehaYnviduBo4bd50Sfm4KvHLcZafJh65Tg-njsR-tlnpgDhk-XVkATwCW6g-SKiYeu_WQ=&uniplatform=NZKPT&language=CHS
低频重复经颅磁刺激结合语言训练对语言发育障碍患儿格赛尔婴幼儿发展量表和发育筛查量表评分的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1Pqf3xq64ZBu6lPQ_BK9DTK7nLkd1Q0DNSzwxsUke2xqT05A6MI6bQBd-3oXX-wcK4iThno7Wb3G8G50gZgpzknAYQ0c13M-8pzyim-a94yTENYYlmBPjqNJGZqtHrexzyLAN89sVmemtFPLoL1w2aPTTPIJzEqQRK4u_8yvrFWw==&uniplatform=NZKPT&language=CHS
普通话发展性语言障碍儿童对疑问句疑问和怨念用法的研究——基于近红外脑成像技术,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2BKxk3SIU_Cd-q697DLnElvsNhPMLT0gAprPnlGx1KZw4hlt5Vc7RWhFlASnTx7SJUNc6O5wLj8tRybFpQaAuJKN-i0R3j9ztKETD11UPrUf4OCcxiAH7d2tyhubBWUNmbHPVOb_uVMw23AhITvWedNAOpAQBdqzAYDSLZwSqaYg==&uniplatform=NZKPT&language=CHS
普通话发展性语言障碍儿童对汉语特殊疑问词的理解研究——基于眼动追踪的视觉情景范式,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2BKxk3SIU_Cd-q697DLnElvsNhPMLT0gAprPnlGx1KZ_KId1TZazWZSPnsttsOPct0-ofsE9ZpqazhTSuQoX3-qLgud--wWrY_FJ0Vh40rovLFNcZScS__XExP1EyRtzA4eP4maf0ep7kyHKyLfIOx6r0L1fpk7r976cFnz216wilRoBUDJjGz&uniplatform=NZKPT&language=CHS
普通发展儿童语言获得和特殊障碍儿童语言教导与干预探究——评《儿童语言发展与干预》,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0mmNQ_fnuWkYXEId9HoReiMbKu-7HrkpdU7JOusVc129XuLOT1N8P6ve4ui5E56Gu6yEwx0rkm8la5XN5ZGpNFENLuhFLs-oHKT-OyU7Pe-s6p73SreAXOW61PvhpkKmNPI9Mq2CP--2bPX7pKY_XR1y42JYTj9F-6M8vVL2rVzw==&uniplatform=NZKPT&language=CHS
智力与发展性残疾儿童言语与语言障碍康复的系统综述,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0mmNQ_fnuWkYXEId9HoReiMbKu-7HrkpehvvHyzZPPx549Nk_efcTsTwZGkpViL7slr2pHTOdSuYT1Mmd71g6x7ZJ5Ql7ozDMHddqZQRxaPKqouE6mxN9dwnrDzg6OjtCMCwq3bbZdS6OmygcfnADeBq4kKSDw_4_g5HS74sMzpQ==&uniplatform=NZKPT&language=CHS
心理空间的认知哲学研究,202405,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1tAgU6hoo30mXb4p2Qlxf6RZH4eWIzArp3QN-Jop-HTNEWs4SHnZTBfPMTg0n_IXS90byjW1nwuInsQFqv7lmLByYr7zdy0Gtyoq5wQUKZYc3T1vkH4E3jM47TVMxqSPGaSVHw736ehbWrus2PoNSlOiMMsg8yYVY=&uniplatform=NZKPT&language=CHS
拥抱蓝海,202404,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1tAgU6hoo30mXb4p2Qlxf6RZH4eWIzArp3QN-Jop-HTKRHESkollUmNd92_eFV95HmQUPiFgcs9K63gWbu7n9gS30ncjlrTf5szl5X6dnPg8SSGPSfuaSvb0fIUZ7bS7SIpuV8NDiF6Yp2dsdRPAFngeKimljMCq0=&uniplatform=NZKPT&language=CHS
培智学校发展智力障碍儿童语言能力的措施,2023,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1tAgU6hoo30mXb4p2Qlxf6f_ZO465ZbzrQak95jJuzsXw4txeLTf-PudP5lek-CIEoR7VfPN_ZUnegtbSOsPR5COiJNc0-Jk4jVZOAOtU9wkqzS2PfEEeKOnRRWiSiHET51OtK-ZH52YKsk5WRWMSHfTlCZLG4aTuBnV16L22wdg==&uniplatform=NZKPT&language=CHS
跨文化交际理论与实践研究,202310,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1x0frc5_SkIgF6FuksDTUHa3HOkIAx_irqQ7kPereJv1eA2d2svZ0iNsdDKbDRJHOL6UHVoZjtvpsWW7H_PmtoegRTzimdLC8cUD9zshfQKTKM54HZhEJ-NZ7tq6OLqwjZ9QSyxxwWMV5Rk74W3R592yIVxzS_rwE=&uniplatform=NZKPT&language=CHS
国外发展性语言障碍儿童语言习得研究现状与趋势——基于Biblioshiny的可视化分析,2023,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1x0frc5_SkIgF6FuksDTUHt1juqDj8yUXKQpKktykM_IK1OG8nr2GjNRUyZfqLhmjxoFl4FSQXJypYeMAVILSRb5kj4rXWbK9sUR0cODuMiCCDvWpF_BU9lT_3DOgSiZtxi9d6JQUuQ_XOCu3Gq31oeT41c-UrLuOHn6P-eCvZMw==&uniplatform=NZKPT&language=CHS
德国刑法基础课,202306,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1x0frc5_SkIgF6FuksDTUHa3HOkIAx_irqQ7kPereJv7V6unoDV2qNv2M_xVRNRX8OkePDbylmEn5Uba_j1RB4mLBhj0AdWf2SHiI7wVP4YYhtWVAULjoA_drC9skUMnSXJEeIs-3r4oZnB7X9FgEJv6OQUuhl_j8=&uniplatform=NZKPT&language=CHS
小学语文促进听力障碍学生语言发展的策略,2023,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3gjwxLGXaAgkBaADnXmyDBGehR-BIhWyABBRYMcNtZNm9jK4ptos_MJ-UjiN1A683Lr3bvBjb-_fL3b78qpm0sSWykmKgYaPf8nA1IbEIoJfn3vS54eCaH3QZQWifa8zCico63T_XXKoBJ6O0vUObZPs0kmdmuu9AqyWnYrDyxeA88JGYu20xe&uniplatform=NZKPT&language=CHS
发展性语言障碍儿童临床诊断:研究进路及损伤特征,2023,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3gjwxLGXaAgkBaADnXmyDBDh1CQ-sG6XZHsyoVi4NmFCqfW5uaSEqgCpCQtvow0zjMx4PAE3y_z6vG7C4iowHbsid8YiJqa8Ml2ZHGC0u-USk9x3CZ8ZvmVp2qdPbdU3_-6PXqGTI9upZw4Loizw5T6oAGKq4xA94eHGQ5BPeE9Q==&uniplatform=NZKPT&language=CHS
卒中后失语循证医学研究,202303,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1NjHUAM6xXTh6eh2e7H98p6vF4poJhD-CvTxkrmMtkd2MmbP1kYxg51tFb4VQT-5FkcEyImXVlqCxFlkGDpHRO7uxBgwxyYD8S9-sFVH9m7HgzXp_XijOMLRuTQNDLd3qQ0AofFnDUhjkID9oLK9nu4k_UX1HfAC0=&uniplatform=NZKPT&language=CHS
汉语发展性语言障碍的现状及建议,2022,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1NjHUAM6xXTh6eh2e7H98pSQhNgQzOSdt5YmTdzKZzcVa4fJ6QU-sgn-3Hwli_4mXAyF21OkCwtBXKhZ4MzfAUXPUYEpR_KGhemVB_Jf7_Kp53gA2EOW8SGAPCNfZPJwJstVVVciYbwgKO46g5GQR7bXebCCdL1uv-GEFo_OjDww==&uniplatform=NZKPT&language=CHS
孤独症谱系障碍和发展性语言障碍儿童神经功能发育轨迹差异性的大样本研究,2022,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1NjHUAM6xXTh6eh2e7H98p_WJ6X2Ni0GvTjKs5az4ablT-dABXjgkLqhEcFdjY6cG8MibViL0mhOQtIIeveLlMJpOwEsXoMzcWgEJ59btAetSgfIC6OKe5gB9u09H1yUEZW-NzyfSXbR-miKmNQZvV8Xvdp8gZn_MoHv-iCZmBSOMs4ovwe-YN&uniplatform=NZKPT&language=CHS
