name,year,url
脑间同步：失语症人际交流研究的新视角,2026,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbM6IjHAypjCdJxbywOpXXeIqBMzrPFJ3vk3l3DP3GjI_hvHPydnDUGRGzBQmjaErAnzlNPVtjS3_eRdVGivtNrKb2Oj4etsR_Vdzofl6AfArsnByx_xN-wLde_BQ7ePLSEe7FGS3p8hqT8sggk_l6yEd4hHcsbS3G5rmAWpgippuw==&uniplatform=NZKPT&language=CHS
基于静息态功能MRI脑卒中后失语症亚急性期动态脑网络变化,2026,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbM6IjHAypjCdJxbywOpXXeIqBMzrPFJ3vlXc9J9KEdCXqzuyZmIXY0bsDhpXl8dMVRXaA-CPNzF4zCNX7lzS-mFpjOF4Jm3pR89BSmdsadw_4O5Bj4aBd1lLlSXFP9dfID4yFz9rDV2OXEEb1chCDyUzlO4r5NThX6NJSgGC7lL2w==&uniplatform=NZKPT&language=CHS
基于KANO模型的康复期脑卒中伴失语症患者护理需求属性分析研究,2026,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbP7z92TsqZGwdkfgTxGvRokrYOdaddP4Fgt5rMTabf5Wyw2fXnax9pUzw016gE3bCOTV_1LUtxEVTkExvIWYRSRHFRZ1ZRKONM-dOLbpvkl-shRy7z_RMoMKlGaAfCH98yCfoygHTCk-ZpaJMDGlhgh6PBmK3-cboClfnHmDcrKRQ==&uniplatform=NZKPT&language=CHS
治疗“灵魂失语症”,2026,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbP7z92TsqZGwdkfgTxGvRok1qQBAq16l9-aszKuqAjZikLcwXklrIznAr-wDbBneX6hppGzmpf08HyIaIwDIWM92TNSWPAH3VEUa9uO7zZOcuskXZSLZevGXPDY7agr5nRiHmXDv4ohfzFDKbGLTmQQDhN4SKtBjez5k76rpHiTDg==&uniplatform=NZKPT&language=CHS
舌三针联合头皮针治疗脑卒中后失语症疗效的Meta分析,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbO8F3ik_P7Q-DxziaBBqQkjCY04Mx74Y9eEKruH36u29jpvIH4wxIiU5TpIVg7OHgLLLa5SxyIe0Jbn5-WV4NmSPg-0i-I_swE713Tj405su0xaFQ9dFn77H6oOHH2guoc5XttUz2ZF6h1DARg-fE-_QN_oektXOkZZ7_4h4MYTKQ==&uniplatform=NZKPT&language=CHS
语义特征分析法在脑卒中后非流畅性失语患者中的应用研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbO8F3ik_P7Q-DxziaBBqQkjCY04Mx74Y9cujP1Q4tnOjeOmguVJ0lvb1PtHXkfPHeZ-9IG5EEjn3FUt0HKEvISosoiZtDEcmNaX1GDxaIFkKLgkTzYWMiYEUuM_OTqyALwcDR2qPJJUqmnjJ2WG_MsmilH1c9HsQo3Hk2TKWyRTlA==&uniplatform=NZKPT&language=CHS
低频重复经颅磁刺激联合动词网络强化疗法对脑卒中非流利性失语患者语言功能影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPz5MToR2wJooDt3adYXHzNhGOcxc6cxkvu7Nn2ovpr2H1o0ZUL2x7nI7jZz-aH5GAYJIU4pLs0KREQPcGQpEC1W1FxRIzl7PA8CKUTHOSv0axg9RO7fTQlb-Y9V4cSIM3OMDB3BeiG8FYT-d1cOCI3CO9J9pLrp_rztRdwpRHvfQ==&uniplatform=NZKPT&language=CHS
中国当代文论话语建构略论,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPz5MToR2wJooDt3adYXHzNJALjxcnwkRr7hjO_AXBBWCj-0V6VCb3qGK9tY1Yw3bVVifLihWU4R_ujTCpTwaXcLlGiJHy17zJQ0UfNY2yRbFNAeJoV_QRzHQbiZZ3AOBo9Yny0wfTdxZW0yuwcrGn77T0c1-1to0vSD0Wa4xaNtQ==&uniplatform=NZKPT&language=CHS
基于自然主义范式的脑卒中后失语症听理解和口语表达障碍皮层控制机制研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbOn1Qjocf7kUBCJtVHs15pDiswgFJPO0UlkyOFuJW5ktb8aqUvAsEqbSrrz_Q03n_ymPm1sV-Qbtxa6EocXq3HjupBSrlpm_V1ScKHc3tWPkh-RjvmbeO2sRvK6pIjHH1r7iGK6UwfnskTaz9PCaejV21oZKykLr6zZc-nLRTg3MQ==&uniplatform=NZKPT&language=CHS
电针联合重复经颅磁刺激治疗卒中后运动性失语的疗效观察,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbOn1Qjocf7kUBCJtVHs15pDiswgFJPO0Ulx5ZFiG9fkdfC4TuwmJeV3dGjYzb3YkfEUN7QAMBsHiBb8yDowH4xZv4QfJCDtj0D3n6Sjsv-O5wplJRFrhvZXw06Z-r2fKYCdtR0B9UPen9lVlnWL41shmwqP3bmySIOIVU8Qq6VN2w==&uniplatform=NZKPT&language=CHS
