name,year,url
一台手术，打捞起“失语者”搁浅人生,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1lIolinyEJMAh6l7-TlIMFZ1U-sPG3oqKTe-F2mqD6DMZVGwlqx9i_5I8j7we9z1TgwbshyRdrT7iGmmKnZ7BxTRoWcRVcJQPMO3QgguZJh90P8WQ5ztAaOBjD1-o7HYAUqC9KYzeTiIXZhCvrHPn4P0IXSuHRjsNK81FBLCstIQ==&uniplatform=NZKPT&language=CHS
卒中后失语症患者筛查与康复护理的应用进展综述,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1lIolinyEJMAh6l7-TlIMF2AHz2r7bUQ_RL6T_rgzwsy9Y9eg_ZK5RZE42rZ4OWbHBgAtRqV5Ep2dLkc-xQBMgr3dOhU7286z67Z0Bhcyz0vb7zKJ88rbilKT4CltUXYwPK1qBPT_uF_v2Pfn7S9I22z75ENvLS-kyvLcSmyq6qQ==&uniplatform=NZKPT&language=CHS
脑间同步：失语症人际交流研究的新视角,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0GiL_Hx-2Gg_wMM7VtjbUdgnMPM0C9X3J87QIPgn4itVJ-XdpPYQ0w-7pI3GFL_ah_xJWL5Ze6D1OvsqNW1QTDWPspyNVwlTs7JrZKn_4FvPVm3pGxrOoY270foeJKR5bT6LSJvyW7hSahAs8mf17FoRh6_7N68ZNNdM3jEStPow==&uniplatform=NZKPT&language=CHS
基于静息态功能MRI脑卒中后失语症亚急性期动态脑网络变化,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0GiL_Hx-2Gg_wMM7VtjbUdgnMPM0C9X3JiXb1XlewFw8IRCVNdbNBsTOa887qflbQ-Um1fT8K2J3WJ6De6jvhtWRuF44MWmOPeqCywgIS9eWbaA3j10RfW7U1hfY-zF6K5LXTUoFSp-oDE9FhloS3netbZbinQfTQVMyqO93TQmQ==&uniplatform=NZKPT&language=CHS
基于KANO模型的康复期脑卒中伴失语症患者护理需求属性分析研究,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1qjaShw5DZL0JLpbJeZfFG4ReaF1wxElZuju26TWroP7owRu8ReLOu787823J8e-3Ls_W5oeJTgIBVBU9ye_E2koLb3UsalRo1HlNaQ5pfVaMf4AHMBecoB4K5EIMw4nlIYo5JQtFwpSHNWrjqSPHiz73oXoRGubyUeT6dcE2B4A==&uniplatform=NZKPT&language=CHS
从脑卒中后失语症脑网络变化引发对非侵入性脑刺激位点选择的思考,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1qjaShw5DZL0JLpbJeZfFG4ReaF1wxEla4RC_YKY7jSxGL410JEiJYqx0FQ5vp-aDWZP04yi4CGEQm79aieKCjiOGeTyAykWnIdkXfd9nEpQ8pQAXSXfOOnDUGEqKbihGRJoo-te_y5c4LxA-bZ_JDXiL8j_kz-Osw1fz9gu121A==&uniplatform=NZKPT&language=CHS
治疗“灵魂失语症”,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0IJO9267LKcKOQaQT2Ikrc5qk4rAjEOTVO3lfCzuWY8wAXejkwPeEwxWtIL9HaRaQFA7sb9uBf05T_f261KigVSWANyfJMcsDFpHbenriKrvWktRCYXlGGEGNYJd9I38XltwiMkzf319SErevqKOZY8CWyuUMD1j0Kobk1cH0gfA==&uniplatform=NZKPT&language=CHS
舌三针联合头皮针治疗脑卒中后失语症疗效的Meta分析,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0IJO9267LKcKOQaQT2IkrcBU6UUjIvdBvsMzqxsiGtZuZq-oDSFmtGmSxhvDj98jPvgOqCBMDWI3ZAuTWJmnGo0mcxsGXTtyTPwDvdCliJPPn9kq-ywmcH3dj-30Aerea4GKLukLWKkRNp2taKz0WENpouGo9vDgn5ilYBpyYkKA==&uniplatform=NZKPT&language=CHS
双通道视听整合训练对恢复期Wernicke失语症语义解码障碍的干预研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0tKswMDSiAXWXsvsaijLz2NwDCXNi2OR8wGrUoVBYzI2aWGc3tVOU0VWfoJ6DNDTReD_oLubk1rwcEaZK-kCaqGrTnguUNYg9-TQNXqTv4m86m7nUYsddq5EvDPFeeDIzle95fFwa01gFztYYgh36z9k4LeC8_KmxOvvvy-L-1Ew==&uniplatform=NZKPT&language=CHS
语义特征分析法在脑卒中后非流畅性失语患者中的应用研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0tKswMDSiAXWXsvsaijLz2NwDCXNi2OR_6_dMD_J7IuHa2-KXXpJPWm2DWsFU_BaSkwcG8aRjJQBL7BBmhZSwmI75Tj5PbT2hruUWpfu78UqqzpSNbDSkCKVWnRsd_gVGh4nmonVb7G1uYN87FBkYiBEDrbhBKudNFSLbH55tHHQ==&uniplatform=NZKPT&language=CHS
头针联合复语汤对卒中恢复中期运动性失语症患者语言功能、日常生活交流能力及血液流变的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2d3wgeMk7W0KGdNjKqiGsW81PnoD4ovUdw3R6D3fKU5XTXAJP8FPaHux4STwdKoRKeaJLxn_e0oD4uZcgjzRFpj1jgUoUWEdFHQ23c_pQ29e74SqD0Q-7xyor4uR3GsVpRWkPgyc-tce_7cm2YTytdZHTzKbyoucEljwm2FBTozg==&uniplatform=NZKPT&language=CHS
低频重复经颅磁刺激联合动词网络强化疗法对脑卒中非流利性失语患者语言功能影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2d3wgeMk7W0KGdNjKqiGsW81PnoD4ovUcdC5SOG_0PuE15LA99r7dKseRosJL3mrXlGFNID0IBxAtAhxuEPtvWGBj7FOLIFcsK8_OIJ_ZrBnho-9fr5Qfs9oIAephNKo7P5O0B7ZaajtYet4XFUzbD-bMqD5oy8xzKZh-VOlV40A==&uniplatform=NZKPT&language=CHS
针刺联合药物、康复训练对脑梗死后运动性失语症患者的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0hNczsXrxZy9KJ1L3ZZxIDhlI_wnej_qE4q_SCoWXP3sFf48Tj9yQB1oeiZw_exm59BWI5ppo3QSiMGlZnpTYOre7fkTWn303anJKlDMW0AgmG5-VWpp8L7ArCz6H2uvL0aIrbKD3vCO3xLOvu1_DRIB4kbPu8c_LKSyNz-rW6gA==&uniplatform=NZKPT&language=CHS
镜像丘脑性失语症1例,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0hNczsXrxZy9KJ1L3ZZxIDhlI_wnej_qHMzIiSKyl00wG_FS6bryRjQLR64NqjN4rfVOVMk3zJ-9-q8C9UZRY_vB6qmJojMqlwPiNiDx8pBJNIxS5EFCV-lA1_mUXwU6OYyO_pVptlm4zpTZu_nYCqFXkKD30LBSTp4Uu5XQ6Z2A==&uniplatform=NZKPT&language=CHS
开窍解喑法针刺联合语言训练治疗脑卒中后失语症的临床观察,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1nA6yovp7Xo27RYKSWYbWFfmtgH0LEyZ7LLkDUbNLAZifrbyzovpo_WLIdElQxJ19IvfmGZNIBdyEshUR6LaPAU-gzRiVu5BVZDbisqMsk1vPV3NYYtDNxYjGYxHF9yKVdoMqc6iXJyvu2VD_q197eABxvLSf7jYNzvz0LC-4UBQ==&uniplatform=NZKPT&language=CHS
基于自然主义范式的脑卒中后失语症听理解和口语表达障碍皮层控制机制研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei098WV9TUTIshvNnILrg_3S1lNzTPa4RKzyS08wIRuVyDaQAreCr-055tQOKzflLei10WJhy-wUnvHk3lvcmeVw_DZE8gy4s3HvySibSxUByS71BMkETDiXHQNm2I1JKUryrlz8L9mlbZ3-buwcovbOz-T-Ft94YhPK_0QTBeeq1A==&uniplatform=NZKPT&language=CHS
基于人工智能的强化言语语言训练对脑卒中后失语症患者语言功能康复的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei098WV9TUTIshvNnILrg_3SkkN53nLjN911DmCGFUDVxy-ZatXn5KQNFF68s1uU1dTX15ClesTAYHwTp3RlYCGcUVHcy94zL6jHXMEVupkJ9KXZ90xk4s8fqwSCElMc8hPSFthXhdoJSVmQ8eY9nkaRAM-m-AA996fnXgCBR9Y70Q==&uniplatform=NZKPT&language=CHS
基于虚拟现实技术的镜像神经元动作观察模仿疗法对脑卒中后非流畅性失语症患者语言功能的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1EgUlLy5oSOo0tRqZ_9kkD_2v8PQfH0M5mjHjxTfq_5zhjxULswaYNaIY7PW3m6WiiWBR2iE_9BheMh3TkrxCSB84nwgVyKQFoZkCpjsUgQipbETz4MOL6K0CThJiDNd3eIR4TAKUkgyQ4l1P4Tt3cssK2DHBFMUMpqp8oI9zsIw==&uniplatform=NZKPT&language=CHS
低频重复经颅磁刺激联合沟通交流策略对脑卒中后运动性失语症患者语言交流能力恢复的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1EgUlLy5oSOo0tRqZ_9kkD_2v8PQfH0M47C7T3FdxHLIo26fR83bu_f7kf6XrNhaQ5I2bothyJmxR1YJbdUd9PeUszvyJRKOlaxOjqU-Btp0WfHjZzyQRl188QxmnoACBVob5gMyxLfC_liciidqJsNj8ZNhXH7H2-iWE41d6ijQ==&uniplatform=NZKPT&language=CHS
电针联合重复经颅磁刺激治疗卒中后运动性失语的疗效观察,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei39Ye_9VvicPMmO-1LbARAALXYS1ukF7f0Q_-157VWuy7BjRIpwmgeiU-F3PxFKptPoRo0tUiByT8mhrAf9ULlevTvTC8FXBNOtkx3ObCStrMEeZDOT6-p_Nq012T3ROhmEHMg5ONxyxlFAeM1_yAzVVhcY4JAaDaAHDXMoFdyEhQ==&uniplatform=NZKPT&language=CHS
一台手术，打捞起“失语者”搁浅人生,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1lIolinyEJMAh6l7-TlIMFZ1U-sPG3oqKTe-F2mqD6DMZVGwlqx9i_5I8j7we9z1TgwbshyRdrT7iGmmKnZ7BxTRoWcRVcJQPMO3QgguZJh90P8WQ5ztAaOBjD1-o7HYAUqC9KYzeTiIXZhCvrHPn4P0IXSuHRjsNK81FBLCstIQ==&uniplatform=NZKPT&language=CHS
卒中后失语症患者筛查与康复护理的应用进展综述,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1lIolinyEJMAh6l7-TlIMF2AHz2r7bUQ_RL6T_rgzwsy9Y9eg_ZK5RZE42rZ4OWbHBgAtRqV5Ep2dLkc-xQBMgr3dOhU7286z67Z0Bhcyz0vb7zKJ88rbilKT4CltUXYwPK1qBPT_uF_v2Pfn7S9I22z75ENvLS-kyvLcSmyq6qQ==&uniplatform=NZKPT&language=CHS
脑间同步：失语症人际交流研究的新视角,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0GiL_Hx-2Gg_wMM7VtjbUdgnMPM0C9X3J87QIPgn4itVJ-XdpPYQ0w-7pI3GFL_ah_xJWL5Ze6D1OvsqNW1QTDWPspyNVwlTs7JrZKn_4FvPVm3pGxrOoY270foeJKR5bT6LSJvyW7hSahAs8mf17FoRh6_7N68ZNNdM3jEStPow==&uniplatform=NZKPT&language=CHS
基于静息态功能MRI脑卒中后失语症亚急性期动态脑网络变化,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0GiL_Hx-2Gg_wMM7VtjbUdgnMPM0C9X3JiXb1XlewFw8IRCVNdbNBsTOa887qflbQ-Um1fT8K2J3WJ6De6jvhtWRuF44MWmOPeqCywgIS9eWbaA3j10RfW7U1hfY-zF6K5LXTUoFSp-oDE9FhloS3netbZbinQfTQVMyqO93TQmQ==&uniplatform=NZKPT&language=CHS
基于KANO模型的康复期脑卒中伴失语症患者护理需求属性分析研究,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1qjaShw5DZL0JLpbJeZfFG4ReaF1wxElZuju26TWroP7owRu8ReLOu787823J8e-3Ls_W5oeJTgIBVBU9ye_E2koLb3UsalRo1HlNaQ5pfVaMf4AHMBecoB4K5EIMw4nlIYo5JQtFwpSHNWrjqSPHiz73oXoRGubyUeT6dcE2B4A==&uniplatform=NZKPT&language=CHS
从脑卒中后失语症脑网络变化引发对非侵入性脑刺激位点选择的思考,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1qjaShw5DZL0JLpbJeZfFG4ReaF1wxEla4RC_YKY7jSxGL410JEiJYqx0FQ5vp-aDWZP04yi4CGEQm79aieKCjiOGeTyAykWnIdkXfd9nEpQ8pQAXSXfOOnDUGEqKbihGRJoo-te_y5c4LxA-bZ_JDXiL8j_kz-Osw1fz9gu121A==&uniplatform=NZKPT&language=CHS
治疗“灵魂失语症”,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0IJO9267LKcKOQaQT2Ikrc5qk4rAjEOTVO3lfCzuWY8wAXejkwPeEwxWtIL9HaRaQFA7sb9uBf05T_f261KigVSWANyfJMcsDFpHbenriKrvWktRCYXlGGEGNYJd9I38XltwiMkzf319SErevqKOZY8CWyuUMD1j0Kobk1cH0gfA==&uniplatform=NZKPT&language=CHS
舌三针联合头皮针治疗脑卒中后失语症疗效的Meta分析,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0IJO9267LKcKOQaQT2IkrcBU6UUjIvdBvsMzqxsiGtZuZq-oDSFmtGmSxhvDj98jPvgOqCBMDWI3ZAuTWJmnGo0mcxsGXTtyTPwDvdCliJPPn9kq-ywmcH3dj-30Aerea4GKLukLWKkRNp2taKz0WENpouGo9vDgn5ilYBpyYkKA==&uniplatform=NZKPT&language=CHS
