name,year,url
自闭症的世界：沟通障碍与潜能开发,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0T-HJF_eAMmAecPpTP7yC1W_-F2ZAYMzd9ScJXteX32GVp2rrdVZRtvilh2KICQIbughvhFhZCQIxb5qU7aXiOpYAGShuu765J1oXOSRgMvEA1CjVv_g8ZLehIM2XlkWzrnFb80YMHC180dKDl1AVVqr74fgD7sdtmxDGDxsaxcA==&uniplatform=NZKPT&language=CHS
门诊护患沟通障碍案例分析及应对措施,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2pg1LoLaOG0MZH_X88fkXVTgt4y1bXKdPnld2-1p6gndALIKbtf3us2jjwcxuqvqJYISsLmuTn1lbSjgaLPrc7-igiRJZ1Oll2QsI8WvLXFMJJjVaRxYXtO9286nkZX-uv_uMvDr_97D1M8L4OdfPeiXQmRtXgpOuiUdVMozjnjg==&uniplatform=NZKPT&language=CHS
外籍患者语言沟通障碍对跨境医疗服务的影响,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei24o70OssYTFVElkVf3UpiC-IMO3zHXINHZj8xglhWe_KYhBD97o9F2MXQCUXDKoGzmEpKUE7aIjOjQMwH6srID-gO0nZsEZ5qM4PasVQDBDP2zXgX5uIBdxqNjNdnBVlw4AadzigYU2MWcd0LrYfRabCeFczCgec3lsT5m00InSA==&uniplatform=NZKPT&language=CHS
护士开展失能老人家庭照护者照护指导工作体验的质性研究,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0jgQ21nP-sEWi3kq3BfX99U_Lb4jVvOPHSAiRhJabmLF8TKR4n0ou3EJkADF6qzlHDZflI46vCZbXeBRbh-B1CY5JnNO23fVR4w9g_sDv6xKsEZdnvJs-5fYkGfE6MQJTiwIrcA5HVe5kluB7ywumyV9qUz6u9w4ElgyXMIK6cYA==&uniplatform=NZKPT&language=CHS
抓住心理需求，化“对抗”为“对话”,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei102_Nqz2gA7nCw-ovYJMnOymylLFke8HC_y1nRvjPbpTZFL77ahWFRTPtL9rV6mLY5uDBKgCCfuwOWTPvX6ftSgfJdbYa1hgPW6NVnfclx6MZQNdgkVMJKbpYm_0uuon2BMMuWdUq-Ja2b8qLxTrzjKKfrjhlOLcPy9Jux2UFbJQ==&uniplatform=NZKPT&language=CHS
人工智能-根因分析对社区多重用药病人药物不良事件的动态预警与智能干预,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei102_Nqz2gA7nCw-ovYJMnOxfg5qEIxdtHF8FQIsDdW2XhaQ7RrKixNhCc0Xp1Ulr3n8lJMJltuWvZ66yZqGlW7zA29K2gmPPWxSCW9H6-jX64-KG3jGpNmowx3CJgZbiOqDjbLKQ5m4bLbfTffphBcHfl4xHpirZXsFNwufuQsYg==&uniplatform=NZKPT&language=CHS
针灸可改善孩子专注力,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1WuCDI1VcgWZ3QwlAMrQsEUTIKsilrCmZD-SmDC_r5_Po6woIXOEu9i9lMb5SR57Ohrn_pvOMlX4VBdEmtnip7lFS1U9gxcNUdWEq725ojFoTVmd1-0R97-BsebvwMEtY5HUM81xEtIcw6sf9lH4B55YMa9uo3AIMEnT4CN88otw==&uniplatform=NZKPT&language=CHS
高职医学生医患沟通障碍成因分析及教学干预策略,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3SJNNT9ndlYfOfG68N05LFfSZV3waemzvqKVw6XBCWQv2P7lQzi-x54DNuM5dMkgsVEgWNt4CwZFoT5G1zt7w5UJAofo7G3JdyGdmg8LrS1pkwtw-6Ye4uRBW_e1kAr_2FEU63vONf5dS64F7hkNcZXOhsG3mbfW3QzgPFhfotqQ==&uniplatform=NZKPT&language=CHS
阿尔茨海默病患者安宁疗护的特殊挑战与策略,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1Yh3wpYAZB1nM-PtA3rx50yQH9JYA-1IAw_AhP7Or2-1HwZH-MeMHA_4Z4iiYFkUjrpCVRXuKEWaBqKakVzXGdsJjXJwc5qt27MboAgifbIICvQpJBcmZBdvP9GdLELpwPNot9JWKVtNx3h88rohgRlbmWG1sy6J_jdAsRpBDtxg==&uniplatform=NZKPT&language=CHS
运用HFMEA优化产后出血防治流程,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0QQuJXgw5YMZ7m6KCeKoSbzArtSCKfHZwX-eUWpkAH8W0uPN4MEf1FgC1TGBqQf2AOSzrD-E6FuyKh9aohupW-PigrEmJRn3BIrpcZyH6TPVjSG0p8M4x4z6mYIHI3KKrFrFwQPHCLCm9V6NfxXVQvEH4471hqbNZUTfT15YUH1g==&uniplatform=NZKPT&language=CHS
羽毛球运动与孤独症谱系障碍儿童的知觉特异性相关研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei11NRJVhMyKbyDViGookpl9UIixHFDcbMg2dpW-CswKuUctXZOzzhdTHfiFlM6vZ9plrgA_ICjVg3GhDx0f7BnuceIuH9NLIWG_zYNJC5YOH0nWBoor-I43G0uPk_wh2MdeAc2wPwPYMU1L2IllizpcsojGUU3rKcD4Sj1Nfr11Zfwqnv8jIzDO&uniplatform=NZKPT&language=CHS
