name,year,url
高职医学生医患沟通障碍成因分析及教学干预策略,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2Jcp9b91h7ouzbIG9OXvs5DM7YTxfwMoXdavAu8-HaQ7lt3CVflLYfnQgnz8K46Pq_YIE5qpi3ZhzSMedv6h6rGV11RdcVEAnN2p2EWMvlGvJEhHKvnqU_4HNu0KSzDBvt5gRAr25mGpyubYrBOzYt7lsqTy0dx9Lk732dDLXCqw==&uniplatform=NZKPT&language=CHS
ICU机械通气患者智能沟通微信小程序的临床应用,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2Jcp9b91h7ouzbIG9OXvs5DM7YTxfwMoW4EVpd5lq9smlM5IbB1rbg-_aoLxpevfFQwz9JwqVBTHJkP-rd8Xtb0VXiN_1AQH_j_g3bN-8fmJtUhJXZO5adF7d6l0_83Nv_kXQ8anbOeEHUT-aHNV5dIYKjVc9TS6ckVf73Ko1RYg==&uniplatform=NZKPT&language=CHS
小组工作介入城市留守儿童家庭隔代沟通障碍问题研究——以河南省A社区为例,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1fcxm3mY0VQvprt9z9P9iUFqXrI9pvLuLXPmSA5gh5-lBWXB65MRVcNTb1VwELto7Mr9UfX12vuji2XFDmSUCcQw-F6-wnAyfuD5mpd8zY0mSMAO06_nhXru5b6ufcZaHEqalqQ6rHMdMURzL_cXCqrqTgl9g8V2TCNGQExI8bK1O61tpPmXMP&uniplatform=NZKPT&language=CHS
结构化游戏对自闭症儿童口语沟通能力的干预效果研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1fcxm3mY0VQvprt9z9P9iUFqXrI9pvLuLXPmSA5gh5-ipp4Rm8OjatBfwkE1jyMCQ-lMFXQcCQNom1zO5KBe4y6HLgZyLf14achBJ79566VBlAtNtEKYN8A-cSDwwFAdh_kN7IuNIMt9PWHywZgqJtrIXG02yEk4-xLPeFlu99p21WH5yOZMfr&uniplatform=NZKPT&language=CHS
基于ICF的智力残疾儿童言语功能障碍和沟通活动受限特征与康复干预,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0Y5hmfajT74MjssDouKaQ25I_Ra3d-l2NdQVVGm1VqiUBQySbTxQj3-omPzwSAg5LoUSh-bt3rnW_CElPQxIifPyNIPSz3PNdXFkZuHxgU2K_Tt-ApCnu2nvSa--mMocl3yshAMn60j7k6HVYY37FMKVboVU2VQ-C_ICBnsmEszg==&uniplatform=NZKPT&language=CHS
重组家庭亲子沟通障碍改善的个案工作介入研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1jmRD9nauIW1GanmoiSaYSrSPvKSsSoP2v6ypxYxEqORZoB6jgQEWveJUQTNBiZfQ4pn_L70yWKaa53yFZtm057aUIXY6HpylcVXt5l75tadkos7oe5IzHcyhHGgZsUu9ccW2eBh9pMsmRMtW-VYry2fnEFRtco6LW21Of7DG8OGi534qouJ8D&uniplatform=NZKPT&language=CHS
小组工作介入心境障碍青少年患者家属家庭功能的干预研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1jmRD9nauIW1GanmoiSaYSrSPvKSsSoP2v6ypxYxEqOdD_fy2loA8dTKL780Q3Nn9hHooetBwBLX4TW8_YWT3XuJ1EyHEFejNMMauCiDoheQmrbX2fYVIRdMz6wb8kH7cR-f2JbOVLcBjAsOUlXzU8bZmxg3fT_WANPpu4yxl5-blGQdbhv1I6&uniplatform=NZKPT&language=CHS
虚拟现实技术在孤独症儿童临床语言健康服务中的应用,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei154qvar03F1IMhHgcRdszUpWags2Dbw2_FC5OjKOquL8o4wTh5vfHKUJqaPd9hc9yJXa36-XKn7RjGXRBydEwvGZfCQrfjOV9r1dyN38bkpcK1eW22fuyWfq3s9moBQycaWHE2f5YV782vBwxRUWpHAbZt4dKgc6zW0maQhOBxXA==&uniplatform=NZKPT&language=CHS
临终沟通障碍-家庭版量表的汉化及应用,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei154qvar03F1IMhHgcRdszUz7E2yrWr6v9lEnBlTqrMoLVCGHm9WI1PK2tVOdc6q0Lss1cLTMwFv7KizHn8CLn7k3hLnH5NdpW-Dxc2SGw9F5NCkKNcbT-spUDBlpgRvfWpoWM2sg-fp2hxX-UG_LjY_teRJThOsbMsT8vYDwgs97rJfxj5B45U&uniplatform=NZKPT&language=CHS
基于结构家庭治疗模式的离异单亲家庭初中生与监护人沟通障碍干预研究,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3SGPNgcXDtmrG5QOHs8vVuFSULn95zVIAV6ksO0GmVcOSQBO3gkP9fS_OnhQDPALTFYph7pe5coXW8GcnUpNITp-9ZdO-hM7i5j1fe6ZSbRGsRP-8AduIwLBajl4oVcvvalYqXVE9rXO3wgULsYWE3fjL6Ivo2VVse28T26dfVelHmR2MFrjhf&uniplatform=NZKPT&language=CHS
社会故事法提升孤独症儿童社会交往能力有效性的实验研究,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3SGPNgcXDtmrG5QOHs8vVuFSULn95zVIAV6ksO0GmVcKtI8inMUmfnG81eOrrVrQS_TkYXTyTnHHVaVdOT3SxfLgqheC-pgfa0_0SXjq0P9Sz660D3CqCRkSmoI3LJcpBlVo6SL8RKDrsZBJypr95VqBPVuw0UQoPJabwWkScL_83uNFf6LP7O&uniplatform=NZKPT&language=CHS
自然情境下特殊同伴介入法对孤独症谱系障碍儿童社交沟通能力的干预研究,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3SGPNgcXDtmrG5QOHs8vVuFSULn95zVIAV6ksO0GmVcIbVhV_gcO5V5lsnczuTbbHDVEuXFJzu8iDJW8r9WnBW9ClwIDWjPnwRxQkaKoLz4NwAIzFX57owb_HhiErrPWTEV7-vwpLmkmKpiMB021tT8H57VgrGd-wn5Q16RZzYsmYcyg_RSqRA&uniplatform=NZKPT&language=CHS
团体音乐治疗对自闭症儿童社交沟通障碍的干预研究,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1qEpXktJ0ziA5gXeuz6-XrD6Ycd98LFoP88ds4XkHITO9MfFPVqUs1q0sSZC-i3m8pJkWALCExf1k9vNeoY_Xd3XuNljrbGVo_5QtQB8zYdC-EYsSF4GB8m2a0yR1mGc0QVggekUhyc0ao8lWLTanD0ssMaLJkvsE_cx2uT6B8j-YPdEC14pcy&uniplatform=NZKPT&language=CHS
运动疗法对孤独症儿童的影响研究进展,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1qEpXktJ0ziA5gXeuz6-XrY5bS2zDNZSowlJQkc0vNrIhP8FxsRi9nD3rzTt7HIstmr5CWpSxhHh1ZwwJHCD747SbF6IHbC1yemdAahOXovcyUEVOF-nh_v5BWs4-fMUXWxta4vO34xVBjx6lMmIw2--ESBKg2cCurFdbqG7a-PQ==&uniplatform=NZKPT&language=CHS
从言语病理学角度看孤独症谱系障碍儿童的沟通障碍,2024,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1wItTNbBbzQzDek3ivhLHFKQlmpMfhxWbv9JLKuBgVhuPNjQcazpPR98TwEIuW62EWVVDNOO7Y454uCZdXOqxbilVgTySrCEjoKAXSJQRatg9xxb0mwF8-mECsdnMvFXqz2z4VHe934Cxyt1grlRvsrH2oZOpWUhbJ5AuYABANCw==&uniplatform=NZKPT&language=CHS
