name,year,url
基于言语流畅性任务近红外光谱脑功能成像在抑郁障碍中的应用研究进展,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3KP2ZkLvRKdAkVCvSyYFLlEmLxiDIAGZuhSN416doVgEjnG9xXbQ-AUc9JxriVs3DdDmSc4g4ECGwiiQiGrbAyvAIto05tSpEUlym_pUonBD6qkLROpbNH-Tnz7mn-hKQA7rr1rchYGihNRJ61ZmP0GmpAFEKKn7t_n0GBdHbJsA==&uniplatform=NZKPT&language=CHS
唐氏综合征群体工作记忆广度与抑制功能的损伤特征研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3e6iYV10f61xRbYp5wijjY79N_xzw4I_Kg56SzoEYqib6F2qVLpIjKmbBS2yObCX0E41NzbeS7i4JFJNW65WWhu-IpQFTSVj0mwtnk6h2t4NbmRjCc_B0fJRd9Vq_gBJ5k5PM11QKOyG3PU_6PGwa1-HGA67cmmEYdlqHkbkXrAg==&uniplatform=NZKPT&language=CHS
口呼吸儿童言语语言障碍现状及对策,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3e6iYV10f61xRbYp5wijjYa9I_0PVv79lO6z1doAVIQHw2En-2UGg3IMCzZhYIddmkSiw829XBjYV30Vod5hiwJzCfYDYm3D7DY2gAO5-hyT2UaBKqQJI1yjWOEOa0NGVog3CH8gEp8glv06Kf9-LqCaXLb4i4zmjy_HqqQ0Y21Q==&uniplatform=NZKPT&language=CHS
励-协夫曼言语训练联合肌电生物反馈对脑梗死后吞咽障碍患者吞咽功能、嗓音质量与表面肌电图的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei142OrFj6AW0b20yjEOcvR7xookWBH2eE3K6BrTG-77Dn-SsBQ6frxyW8sN4NZ1iA5mscN48ZOZSDSJxZsW5idyQWXWY6ldwE1sJK6GnOUm0O-odijckcU8EEHvcD9aTwStOjIYwvyo9OMwBxPz8T0tpX9Ma59AgrkWYZc7Erv4nw==&uniplatform=NZKPT&language=CHS
脑卒中后言语和吞咽功能障碍等的康复治疗,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei142OrFj6AW0b20yjEOcvR7c-tXdT7_hiY8j3cEQvKssCqOFYqx8prXspNoikXCHOcd1AgBjEuYnqaZFA5XJAtebl4hUYrh_S2_NXzePgDIBVdH4-6V7gfXtBGsdQFoDVlnldItLg2VPxLdztK_ZpLxuiI8Az9htCDQKIwR_N9xIQ==&uniplatform=NZKPT&language=CHS
励-协夫曼言语训练对脑梗死后吞咽障碍患者吞咽功能的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei0MRzWhT7LlZo3WrQEEb6KvNfm12b6OPsWYhy4vb-GsVaQG6XrGHzNpR7n2We7WWmYpcw66pn5LR5SCReLL8U3BJQKbTmGn8Vj1t8S70ttvyastEEk7wZoQwReHd_nZtPPuY4u_1sNB_D88UENDRdqjQmsN_m3LpvzcH7Wp6IQWBw==&uniplatform=NZKPT&language=CHS
基于ICF的智力残疾儿童言语功能障碍和沟通活动受限特征与康复干预,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2IPv71t2jyoQ7ot5bpajGTpD2c8H-iZzpcq4eMGIHHqqNAslGSy6nQ13OE0cu6cxJmlPFUucGWA3tFmXnbfPNbLZcuv8qnhZwL6IgAAIcm1XVzAkjk82KN88mBXSdB5YM9uBUbuWTvEV_Tn95cQ7WYCyJmCpQ4NnV2ueZ0CUsUhQ==&uniplatform=NZKPT&language=CHS
口部运动训练联合六字诀对脑瘫儿童言语-吞咽障碍的效果观察,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2IPv71t2jyoQ7ot5bpajGTidWrZPRLOZaR6zbJv0SptUkqlWhfZd24uykwrTXP8mL0FJstR8ojQpsl6UU6gUmtOIefeFENt2d4DwoHN3g3orzbCMa9xYxATFCGf_gANU9TUnzVKy52TTnvUvbBQBepVD09SVSEnNRgiAQzDtpZubff3F8lL5A_&uniplatform=NZKPT&language=CHS
孤独症谱系障碍儿童言语认知功能的疗效分析,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2IPv71t2jyoQ7ot5bpajGTslH-ReYbIhbqDrzLYCjGZHUQw1x1iRwwH9ohkZmvSbzwJXkKZR_IzFtVgCqCpvpR5cUqKYXK3YxNdIZtxu8YXB68haaAVHFIt7lAYE5YZQr7AZgd0nL8DBqvW7HF5rvBotp5-1-wIlh1SZYyjYf8ww==&uniplatform=NZKPT&language=CHS
计算机辅助执行功能训练联合言语训练对脑卒中后构音障碍患者的康复效果,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei39_U_blTiApR_BaOg1FEN5a4zfH5mAm40l4yz0raZlKlKlTVFqMEa5hQWmCKQioyesFbX0iixZq0k6SDNnASoam_vwfwRGq8o3mavOQk50VeFFS-RhqNYXFUOfudQTvAjNpSG6Tv8uaO6wqrWW7JVCUdgFnjBGdkhBTkM6yYtUWg==&uniplatform=NZKPT&language=CHS
