name,year,url
语义特征分析法在脑卒中后非流畅性失语患者中的应用研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbMBk06CMTTRZsiBTwVFVvlhD4mZ0Zwb-d_wr51T0KYWIM6bZ_LrP9PpZ12rnU9OkNZaTWwQZg-czAkzhOq5ArRiMXnP5ACI5L76ao5Ve2WgQ0Q-NB1TE5tnVVE6pzSPqWkrUFLy5rUcjaDEEjaKQRnZlHLMxU0wVUSG9TkwM_8sKw==&uniplatform=NZKPT&language=CHS
“开窍利咽”针刺联合六字诀训练治疗脑卒中后构音障碍：随机对照试验,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbMtA_sZ2X5EVIGbZBIea_N_PwKjTjFZhil1EANL-dCTGffnk01uuvGrEWrH0WTsZBpel_3HGKI5KfUBBc5sYgj-l07fhPkyj2UNJxeLAvpr5AYPeJqfTHwGe-qn_1GezXF_X350q1AhB8DLGfTo_Qm8do0HXpWkb4hJSC-cqlBF5A==&uniplatform=NZKPT&language=CHS
双模植入儿童言语清晰度的康复干预个案研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbO7A6kvTBtlOkbySi-d6FaNswzsddyYsfhAO8fgViNNzUZak42sw_yXfwel8NT_H--d_AxlHFOEmlRU7fdYzW7Leoz01zIjsp6NbxO9KCXWQPkDzQEXkA7A2YUp50vtfKty0qFX7KyJrZxTnuUoIHA0hUjXkmm9ZvFu6GMj9m1NBw==&uniplatform=NZKPT&language=CHS
成语在脑卒中后运动性及经皮质运动性失语症患者语言功能康复中的应用研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbO7A6kvTBtlOkbySi-d6FaNhH24Og6sHlJABdPGTplGPLS4Nz_s1VcvNeAYcVuuzT-yh7gS0Jx5rYJKAMvqfJMtqEngrmj3QgMcYakrgDQ80XV8fv_Us2hEa7w_X-79XWaINRDlphx9MQqjBjEeOgcwDdl5P28Y5rEAeto9ZQj3oQ==&uniplatform=NZKPT&language=CHS
汉语构音原理及构音障碍,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPH158mog0lJlln4dNVwEJgllEj0kIFMKM4_xwXAuXW4du-GPFF5A-EssPVCRosAtrqT6fPR2ukWa0hNu8yPNocHTcNCGqh3yi3aOaeIl8iQK9mkBcFLX1YXQXY5Pl05zV7SpG-BtKVFc7MJMXZy8GiUuTXBdAZj9be3SjeKznXbQ==&uniplatform=NZKPT&language=CHS
皮层可塑性对人工耳蜗术后言语康复效果的研究进展,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPH158mog0lJlln4dNVwEJgllEj0kIFMKMpoMcRog8azEnf_IowirNbwBlVscBXlMzsdi3Ce1I9cH5ZJg1t-TKi_4x4QlsfI-i_0b3rSt7KorKw2rTrWxz7xM93OsEWwcyVEFO7zJP7xOohe7W0brPY_IZIiLsp9H8Pz6r-c1D-Wg==&uniplatform=NZKPT&language=CHS
1例全喉切除辅助发音管Ⅰ期植入患者术后喉功能康复的护理,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPRy3q5IWtzFrl0Ew28u8Kxex7DM0JDxw0o_qrZe71AVRJjS08BKP6m9WyyZ0FvQocrz41Wnheflid4eJpS8DyF88KgULC4DR4EaRuirLGrsQsq8uC8V3OWIW3aTHAm2cqGB-yY81fubUm5TkUxH3YNs26UDskheh7b4qzu1fSPdQ==&uniplatform=NZKPT&language=CHS
用爱心点亮星空  以行动温暖童心,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPRy3q5IWtzFrl0Ew28u8KxOxBhdnRWCqVLnxpWOQo3MyHi1as4-g1ky24hpYiHOmcspkSpfcujIugp6aLHSzy7jTDglA5pnJwH9T8G1moudcvJowZnfsLg-Q_eWhRQIQWbgJMKkGKk92XYcdR3O9DZTti2z90TUHND8jf_sh17_NmYRwUMKnJ6&uniplatform=NZKPT&language=CHS
康复专科护士主导的脑卒中后失语症患者言语康复干预方案的构建,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbPRy3q5IWtzFrl0Ew28u8KxSYP77FQN5utFX4W4gTKW7oP3yx8Tkvwgg6Sotu4fv6K4OlCtMpeH8aJ-amjUmKvUxcGt7KvANQRhsRJtF1c_WNLiPFr5pk2wpnWPbRdChGwQqjpECxt717O-kNbTm91YAaaBTLdhQ6sMFmDoCa0ef1lwBrm_3kgb&uniplatform=NZKPT&language=CHS
基底核性失语患者采用言语康复治疗技术联合小组治疗的临床效果,2025,https://kns.cnki.net/kcms2/article/abstract?v=8witAuWEzbMRkw4hDuiLvn9cN7GzZLWhcslaoik2t-WBkvMEg0X6i6jdmjPLDKNYn06Dl30MHtpCKqGHBrOzBAcbIxECDonU4JpP45LyQfWfLRfidxJbW2mErdOKAnmCWmgzPu9BxGxLtieu32EPNawHSDIVpYA9lLrB83D5QnLHMhf4dZ3XYQ==&uniplatform=NZKPT&language=CHS
