name,year,url
基于R语言分析针灸治疗孤独症谱系障碍言语障碍的选穴规律,2026,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDORMWcg9E1M3zVOatVgfg3bLetaVr9V_P7535Rq_g-2wo0Icka19apwczQnHdzU3jJXnT0LbWQCdz4uen3sZx4U9sbPg88XjGdSjoHq-Uwz9GoaaqZz3_46Dw-hs2777dkjuIXXB7scNt6pBl0Y2jAMhwmnuUTrVfwfmoM1xZVTPA==&uniplatform=NZKPT&language=CHS
AI项圈让中风患者恢复交流能力,2026,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDORMWcg9E1M3zVOatVgfg3bZv0FQd07w9gR_w5UeOhzg73lzTEoRcfpqoQr5t5aNF-XAWWkAs6FxxMu6x5MsJcvyIg_8VMaZEWI-tKKg9zUH_AeQRG8LvUo6_yNK5iBzsxDXkSx0k9m9s7U4joJncJWWJ8rvBZpKm6ApER2xAhEvA==&uniplatform=NZKPT&language=CHS
重复经颅磁刺激治疗绝经后期脑卒中患者认知障碍和言语障碍的临床效果,2026,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDORMWcg9E1M3zVOatVgfg3bLetaVr9V_P6lkmmUZ-56tUODn7e4Ilo0sLfxoeuoniLulmxOdDiwYaR6ZH5fOaFlf1GwITfmyEcsBYZM6r7lDWCKx6zHydULOCVlsHazHVxrD8r-pq9gP960yjUFT8f1YM7ONk-z4KNRnWSCyfSGeQ==&uniplatform=NZKPT&language=CHS
自身抗体在自身免疫性脑炎中临床价值分析,2026,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMR3K0jODJqdX2GeYQit7ZyLDrHjGrCn_AbF5Hf5TJ854B2T37VvT_PNMnf7-G4Lv6Dl9zM3uhBAOANCW83DyIqiIci30mj5NIOZ2NH8drQWae-7bS5biduuUPZLz8tDdPrvgxZIcUSKrbcdpB0vcdoWHP_OX-TNMHz6ycBKDzCaA==&uniplatform=NZKPT&language=CHS
以言语障碍为主要表现的成人甲基丙二酸血症合并膜性肾病1例报告,2025,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMR3K0jODJqdX2GeYQit7ZyNAlmna0yNttutcqifsFSw042qGzNBEUVWcsGWMKO1_JiH1rkYrpa4pb0e1Vh0IGZ0obvd44qiQ8FHueLjNIzh9TUiURR-NkJPLu1T65unPEzd1BAj0OsJ7BMUi9KD6k7gUUHn7yt5VH3QPnvAuKBsw==&uniplatform=NZKPT&language=CHS
老年人中风疼痛，别忽视！——专家建议这样康复更科学,2025,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDPyK35B3v-WOEYlX5qzf9EkANZHOtafgw_vt0H_xzuFfR_TcQ2w1XZDvHjFJaxOWBuTpzpY6mVAjuKJ_OelyEoU6zyQXhnoNYjwoRAK7zRzuWvEPbcQt3GQyaDEdVpbzB3Mfyof10hxxdAl90c4y4L1mP-wyWKZmE3cy8VvxWbeQQ==&uniplatform=NZKPT&language=CHS
口咽鳞状细胞癌整合诊治技术专家共识,2025,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMiZRzhYlK23Ywc90vu4ZANlIrZZ5i6UUdGW6jAZPM7IgQRat6lIPmyZr8fshXXqhNv4s4qPlosRCum3SPuGADv8BmXOnl4Xnof7bzbDmxKZLyYMCVr1dRd4Ytf0YRg2_GG7oXbF0RY-fJYDZY8p1mXuoeRtjF_YD3gFMCN3nspqw==&uniplatform=NZKPT&language=CHS
阿尔茨海默病病理损伤相关的自发言语障碍特征研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDMiZRzhYlK23Ywc90vu4ZANlIrZZ5i6UUcanQVnGYZBgidOP2p_hBUXQxU_kIbA9ci-8lUNYixihpDkhPfqXjbGlQ0DGBwBZGLeu92oatxdl0P0YPB7ASuMuA4FlBRf7dn7p-7dhq4cPxwEBLs8NFEmQvZVNnB0LdMxigIOHWYfHQ==&uniplatform=NZKPT&language=CHS
脑电仿生电刺激联合辅助沟通系统对脑瘫言语障碍儿童的影响,2025,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDO_igV-t2ga2y6_n9e0CO4pJwdP0b0N8Km_PiauCbM3rKDp4t0mzA3Vj0kH_AuZzctLW4HCqaNjHxpLSISAGhRUnBREBSlykBxqOa4drP1xAWUvrA08-PBn92Ovk00QR7VrSxpO0kS1K1y-GmqZCqvdPIxEwiJtnW-cu_amGCGF6Q==&uniplatform=NZKPT&language=CHS
运用视觉提示策略促进言语障碍儿童习得声母P的个案研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=oGHOruzuSDO_igV-t2ga2y6_n9e0CO4p2rdQ_zk8aEhdwh3xOz-tpi2xN197ND7_lQHtkUC-wApiNDr7DjQ2Rt535IE5BmbI5n-rvfk7A1MdwloSLqty6yXuaGvMO7m43f-yHCB3KPanVrtbRAkpC9-78pKrdDmbFeHDxDYSB4Er7aLmL4Pw7PNCmqmIFM4v&uniplatform=NZKPT&language=CHS
