name,year,url
天麻醒脑胶囊治疗血管性轻度认知障碍语言功能异常的临床观察,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3-uhUEZNVUzgWU5YFtf2hMmmw4v8Bf1tRXV5nXme6pFHbUU5ac9IiOXfRKSAtkpKiAaQk4HO-_AloBaC-PQemMuB582h6CNWTw2k1wy2V5x-7KPuhvaY_MPDOu_0qQoX7UE-VkeHvc5bqsPvCrATLK-yYmoMced3wGHnD2HPUV0A==&uniplatform=NZKPT&language=CHS
基于R语言分析针灸治疗孤独症谱系障碍言语障碍的选穴规律,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1hNaxB9RCF1ejPwO_oa9YuknHFuF01LecZULUSX0tipYftArwKzj2ZT5McCMM5OrsblJfvOyM4maQ_bDP-oKHq9T6UhHH-22jsdbVwUj-WEOhK5ofqaVNYK1lry6y9HNNHq-SB4DqvZsPCwJ36HmPv5jIl08GYZ99ZEW6y3FJ9fQ==&uniplatform=NZKPT&language=CHS
声乐在语言障碍人士治疗中的应用,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2c5n9O_Lr37IGdS-KhPjOnuvisKvBhQMXSIFIT6KXU7moYWzr5RmzkxhpjJC-5msnpbPp0K8rr53xMXgX9b2gJV__73bO5IFQ5GGyVcTas_jc-xlppqBUceUG0IA7NB0FssyoIesMJBs6l0XJ5NQHGCrie4PHTJn9gzvDJpTNCug==&uniplatform=NZKPT&language=CHS
中国语言康复业发展现状及路径选择,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1mJptBgoAR5Q2rbngy1lHGmMcfie20TxRJiPdSKNta9s9BRYinn1-g9eBfSbGG8Zo9luCWsSnS745sX85GkmXbj_KWrk49Weygeu3yhMNvIpgr2zScfaKFCOGZXQAyZ8N2B0nBUQugBaSxz4DLxeTOAZVcV5cPWz96l28YTU3giQ==&uniplatform=NZKPT&language=CHS
语言治疗领域中治疗师和人工智能的协同合作发展路径研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1I3aHCbeedGiHc8pc3S0MOeFKdxJJwQUuJwdwda4cTK07fB30ix1-C9fKgMCygqqtKSEv0I0kB-beH37qkT50TV2RWwQ0FVni7IWHWkvnfKSbuHlmnAtgMASIGojhOZXmXV-bgLA9e0pd6ka0Kpy_iMuHCWARTORlkvWtfcLdvIA==&uniplatform=NZKPT&language=CHS
基于R语言数据挖掘分析中医药治疗原发性失眠“症-药”结合规律,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1I3aHCbeedGiHc8pc3S0MOAYLkXzAg1TN1T5tX0P7WQcH7DOMEHFcEeWcNEruoC6nCcsNhFSVsbN0JaJzWeWwn7buaN0GsCHLXl0wIWaLOc_Q6ESzIJJ9j-VK4smkzpr5d0SKEDRm75jQ9ppq_Mwgd6d5n2xEb7Q5Y9BRLlqBhHg==&uniplatform=NZKPT&language=CHS
天麻醒脑胶囊治疗血管性轻度认知障碍语言功能异常的临床观察,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei3-uhUEZNVUzgWU5YFtf2hMmmw4v8Bf1tRXV5nXme6pFHbUU5ac9IiOXfRKSAtkpKiAaQk4HO-_AloBaC-PQemMuB582h6CNWTw2k1wy2V5x-7KPuhvaY_MPDOu_0qQoX7UE-VkeHvc5bqsPvCrATLK-yYmoMced3wGHnD2HPUV0A==&uniplatform=NZKPT&language=CHS
基于R语言分析针灸治疗孤独症谱系障碍言语障碍的选穴规律,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1hNaxB9RCF1ejPwO_oa9YuknHFuF01LecZULUSX0tipYftArwKzj2ZT5McCMM5OrsblJfvOyM4maQ_bDP-oKHq9T6UhHH-22jsdbVwUj-WEOhK5ofqaVNYK1lry6y9HNNHq-SB4DqvZsPCwJ36HmPv5jIl08GYZ99ZEW6y3FJ9fQ==&uniplatform=NZKPT&language=CHS
声乐在语言障碍人士治疗中的应用,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei2c5n9O_Lr37IGdS-KhPjOnuvisKvBhQMXSIFIT6KXU7moYWzr5RmzkxhpjJC-5msnpbPp0K8rr53xMXgX9b2gJV__73bO5IFQ5GGyVcTas_jc-xlppqBUceUG0IA7NB0FssyoIesMJBs6l0XJ5NQHGCrie4PHTJn9gzvDJpTNCug==&uniplatform=NZKPT&language=CHS
中国语言康复业发展现状及路径选择,2026,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1mJptBgoAR5Q2rbngy1lHGmMcfie20TxRJiPdSKNta9s9BRYinn1-g9eBfSbGG8Zo9luCWsSnS745sX85GkmXbj_KWrk49Weygeu3yhMNvIpgr2zScfaKFCOGZXQAyZ8N2B0nBUQugBaSxz4DLxeTOAZVcV5cPWz96l28YTU3giQ==&uniplatform=NZKPT&language=CHS
语言治疗领域中治疗师和人工智能的协同合作发展路径研究,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1I3aHCbeedGiHc8pc3S0MOeFKdxJJwQUuJwdwda4cTK07fB30ix1-C9fKgMCygqqtKSEv0I0kB-beH37qkT50TV2RWwQ0FVni7IWHWkvnfKSbuHlmnAtgMASIGojhOZXmXV-bgLA9e0pd6ka0Kpy_iMuHCWARTORlkvWtfcLdvIA==&uniplatform=NZKPT&language=CHS
基于R语言数据挖掘分析中医药治疗原发性失眠“症-药”结合规律,2025,https://kns.cnki.net/kcms2/article/abstract?v=L9QYEmxDei1I3aHCbeedGiHc8pc3S0MOAYLkXzAg1TN1T5tX0P7WQcH7DOMEHFcEeWcNEruoC6nCcsNhFSVsbN0JaJzWeWwn7buaN0GsCHLXl0wIWaLOc_Q6ESzIJJ9j-VK4smkzpr5d0SKEDRm75jQ9ppq_Mwgd6d5n2xEb7Q5Y9BRLlqBhHg==&uniplatform=NZKPT&language=CHS
